price,bedrooms,bathrooms,area,land_area,latitude,longitude,zestimate,rent,source
129999.0,4.0,2.0,1680.0,0.2760999999999999,32.34567,-86.23511,128800.0,1394.0,USA
95500.0,2.0,1.0,1316.0,0.1606,30.762444,-88.08054,94900.0,1099.0,USA
139900.0,3.0,2.0,1408.0,0.61,32.98726,-87.21477,137400.0,1350.0,USA
275000.0,3.0,2.0,1800.0,,33.857433,-87.262695,153900.0,1635.0,USA
220000.0,3.0,3.0,1992.0,0.42,33.642715,-86.702225,184200.0,1270.0,USA
280000.0,4.0,2.0,2241.0,0.3399999999999999,31.211576,-85.453156,277900.0,2064.0,USA
265000.0,4.0,4.0,2755.0,0.259,30.64606,-87.88291,,,USA
129900.0,3.0,1.0,1289.0,0.3399999999999999,31.275568,-85.43938,118900.0,1185.0,USA
179900.0,3.0,2.0,1272.0,0.2299999999999999,34.825504,-87.6715,178800.0,1495.0,USA
62000.0,3.0,2.0,1732.0,,32.34212,-86.30114,59900.0,1320.0,USA
59900.0,3.0,2.0,1360.0,0.17,33.485176,-86.87472,,,USA
729000.0,4.0,3.0,3723.0,0.1504,30.680508,-88.06529,729200.0,3759.0,USA
294999.0,3.0,2.0,2032.0,1.65,30.847399,-88.13863,,,USA
495000.0,4.0,5.0,2950.0,3.0,30.642878,-87.67365,,,USA
110000.0,3.0,2.0,1000.0,0.19,32.303844,-86.34714,106800.0,950.0,USA
205000.0,3.0,2.0,1320.0,0.3,34.778187,-86.605255,204200.0,1494.0,USA
644900.0,5.0,4.0,3479.0,0.475,30.504642,-87.87718,,,USA
675000.0,3.0,4.0,3238.0,0.26,30.557747,-87.896324,,,USA
799000.0,5.0,4.0,4600.0,2.1,34.78706,-86.70479,,,USA
224900.0,4.0,2.0,1569.0,0.43,34.784073,-86.58795,224100.0,1432.0,USA
220000.0,2.0,2.0,1175.0,0.07,33.28992,-86.80459,,,USA
155000.0,3.0,2.0,1144.0,6.07,32.59268,-86.69812,146900.0,1200.0,USA
550000.0,4.0,4.0,3384.0,0.4,30.51387,-87.90105,511400.0,2999.0,USA
145000.0,3.0,1.0,1216.0,0.45,31.872173,-85.21629,138400.0,1099.0,USA
240000.0,3.0,2.0,1539.0,0.2047,30.644339,-88.25151,239800.0,1679.0,USA
169900.0,3.0,2.0,1706.0,0.2496556473829201,32.384464,-86.22411,,,USA
419000.0,4.0,2.0,2060.0,0.3939999999999999,30.517668,-87.85656,,,USA
215000.0,3.0,2.0,1511.0,0.2299999999999999,31.326319,-85.883064,,,USA
124900.0,4.0,2.0,2113.0,0.16,33.48694,-86.90086,121500.0,1132.0,USA
164900.0,3.0,1.0,1089.0,0.12,34.817142,-87.68756,163500.0,999.0,USA
137000.0,3.0,2.0,1366.0,0.41,31.412834,-85.61016,,665.0,USA
725000.0,3.0,4.0,2509.0,,34.571102,-86.11438,667100.0,3721.0,USA
199000.0,5.0,3.0,2554.0,3.32,34.157356,-86.18112,184300.0,1796.0,USA
775000.0,5.0,4.0,3862.0,6.0,34.287952,-86.39717,714200.0,2921.0,USA
154900.0,4.0,3.0,2694.0,0.49,33.649113,-85.79814,,,USA
359900.0,3.0,2.0,1100.0,,33.96913,-87.106636,359200.0,2839.0,USA
119900.0,3.0,2.0,2300.0,0.5438999999999999,30.565338,-88.20124,,,USA
239950.0,3.0,2.0,1404.0,0.2502,30.64717,-88.32544,239200.0,1628.0,USA
169900.0,3.0,2.0,1530.0,0.29,31.31328,-85.703,168900.0,1452.0,USA
264900.0,4.0,4.0,2180.0,0.38,31.238642,-85.42869,262500.0,1963.0,USA
299900.0,4.0,3.0,2096.0,0.26,33.116016,-87.56847,299400.0,1700.0,USA
124900.0,3.0,2.0,1728.0,0.23,34.02474,-86.05376,,,USA
379900.0,3.0,2.0,1968.0,0.95,34.74326,-86.802666,379300.0,1925.0,USA
114900.0,3.0,2.0,1655.0,0.32,32.40305,-87.05787,,,USA
250000.0,3.0,2.0,1740.0,2.0,31.401741,-87.3086,249100.0,820.0,USA
197500.0,4.0,4.0,3125.0,0.37,33.6485,-85.81168,189800.0,2034.0,USA
259900.0,4.0,2.0,1898.0,0.18,33.177425,-86.822235,,,USA
249000.0,4.0,2.0,1566.0,,34.8054,-86.985596,,,USA
65000.0,3.0,1.0,1432.0,0.31,32.327934,-86.28739,,,USA
279900.0,3.0,2.0,1676.0,0.2,30.425716,-87.69967,278500.0,1949.0,USA
93000.0,3.0,2.0,1680.0,0.38,33.587418,-85.91039,,,USA
118000.0,3.0,1.0,1253.0,8.8,34.057236,-87.0346,117300.0,1106.0,USA
125000.0,3.0,1.0,1050.0,1.0,32.05632,-86.18998,122800.0,1025.0,USA
700000.0,3.0,3.0,2054.0,0.362,30.279825,-87.57666,,,USA
900000.0,6.0,6.0,3138.0,1.23,30.303347,-87.47633,896800.0,8482.0,USA
310000.0,3.0,3.0,1680.0,2.3,34.17419,-87.00112,213500.0,1650.0,USA
30000.0,2.0,1.0,1000.0,0.5,30.74002,-88.085205,28100.0,1099.0,USA
365000.0,3.0,2.0,1898.0,0.172,30.368938,-87.70316,,,USA
275000.0,4.0,5.0,1400.0,21.44,31.01055,-86.250656,274400.0,1674.0,USA
169900.0,3.0,2.0,1176.0,0.27,31.118282,-85.672005,,,USA
310000.0,4.0,2.0,1948.0,0.47,34.83901,-86.75245,,,USA
170000.0,4.0,3.0,1652.0,2.35,31.726835,-85.755905,163500.0,1275.0,USA
194900.0,3.0,2.0,1422.0,0.3299999999999999,32.38984,-86.24046,,,USA
285000.0,3.0,2.0,2063.0,0.2,34.832855,-86.77445,,,USA
